"deployment_rank","deployment_tier","model_name","canonical_name","publication_year","benchmark_role_label","benchmark_roles","representation_category","architecture_category","task_type","method_family","deployment_selection_score","article_impact_score","citation_count","journal_impact_factor","code_repository_url","web_server_url","dataset_source_or_link","deployment_status","blocking_issues","evidence_level","source_pmid","source_doi"
"1","core_main_benchmark_top10","AMPlify","AMPlify","2022","经典基线","classic_baseline | architecture_representative","sequence_encoding_representation","rnn_lstm_dominant_models","antimicrobial peptide classification","DL","23.0643","3.3048","185","3.9","https://github.com/bcgsc/AMPlify","https://amply.genomics.cn/","Training data from APD, CAMP, etc. (details in paper); test set from Bullfrog genome and other sources.","core_main_deploy_after_weight_and_data_check","preprint not yet peer-reviewed, full text verification needed","fulltext","35078402","10.1186/s12864-022-08310-4"
"2","core_main_benchmark_top10","AntiBP3","AntiBP3","2024","架构代表","architecture_representative","traditional_physicochemical_statistical_features","machine_learning_models","antibacterial peptide classification / antimicrobial peptide classification","ML","21.7236","2.6818","28","5.5","https://gitlab.com/raghavalab/antibp3","https://webs.iiitd.edu.in/raghava/antibp3","not_reported_in_available_evidence (training data compiled from public databases, no direct download link provided)","core_main_deploy_after_weight_and_data_check","","fulltext","38391554","10.3390/antibiotics13020168"
"3","core_main_benchmark_top10","sAMPpred-GAT","sAMPpred-GAT","2023","架构代表","architecture_representative","structure_graph_representation","gnn_models","antimicrobial peptide classification","DL","21.4962","3.5735","225","5.5","https://github.com/HongWuL/sAMPpred-GAT/","http://bliulab.net/sAMPpred-GAT","https://github.com/HongWuL/sAMPpred-GAT/ (likely includes datasets)","core_main_deploy_after_weight_and_data_check","lack of original publication details from review","abstract","36342186","10.1093/bioinformatics/btac715"
"4","core_main_benchmark_top10","AMP-BERT","AMP-BERT","2023","架构代表","architecture_representative","protein_language_model_representation","transformer_llm_dominant_models","AMP prediction","DL","21.4467","3.3297","125","5.6","https://github.com/GIST-CSBL/AMP-BERT","not_reported_in_available_evidence","https://github.com/GIST-CSBL/AMP-BERT.","core_main_deploy_after_weight_and_data_check","原始论文未检索，证据来自综述，无代码或服务器信息","fulltext","36461699","10.1002/pro.4529"
"5","core_main_benchmark_top10","AMPSorter","AMPSorter","2025","已核验核心候选","verified_required_core","protein_language_model_representation","transformer_llm_dominant_models","AMP binary prediction/classification","ProteoGPT transformer protein language model classifier","21.067","2.8522","44","5.3","https://github.com/W1V1995/AMP_Project","","https://doi.org/10.5281/zenodo.16633186","core_main_deploy_after_weight_and_data_check","","primary_publisher_crossref_openalex_github_verified","","10.1038/s41564-025-02114-4"
"6","core_main_benchmark_top10","C_AMPs-predict","C_AMPs-predict","2022","已核验核心候选","verified_required_core","protein_language_model_representation","rnn_lstm_dominant_models","AMP binary prediction/classification","LSTM attention BERT ensemble","20.9098","2.6776","475","0","https://github.com/mayuefine/c_AMPs-prediction","","https://github.com/mayuefine/c_AMPs-prediction","core_main_deploy_after_weight_and_data_check","","primary_publisher_crossref_openalex_github_verified","35241840","10.1038/s41587-022-01226-0"
"7","core_main_benchmark_top10","CalcAMP","CalcAMP","2023","证据排序补位","evidence_ranked_fill","structure_graph_representation","gnn_models","AMP prediction","ML","20.6194","2.8104","38","5.5","https://github.com/CDDLeiden/CalcAMP","not_reported_in_available_evidence","https://doi.org/10.5281/zenodo.7588702","core_main_deploy_after_weight_and_data_check","","fulltext","37107088","10.3390/antibiotics12040725"
"8","core_main_benchmark_top10","iAMPCN","iAMPCN","2023","架构代表","architecture_representative","sequence_encoding_representation","cnn_dominant_models","antimicrobial peptide classification","DL","20.5498","3.3998","104","7.3","https://github.com/joy50706/iAMPCN","not_reported_in_available_evidence","Integrated from multiple databases (APD3, dbAMP, DRAMP, etc.) and UniProt for negatives.","core_main_deploy_after_weight_and_data_check","original_model_article_not_this_one | dataset_not_specified","fulltext","37369638","10.1093/bib/bbad240"
"9","core_main_benchmark_top10","LMPred","LMPred","2022","证据排序补位","evidence_ranked_fill","sequence_encoding_representation","cnn_dominant_models","AMP prediction / antimicrobial peptide classification","DL","20.4401","2.4779","43","2.6","https://github.com/williamdee1/LMPred_AMP_Prediction","not_reported_in_available_evidence","https://github.com/williamdee1/LMPred_AMP_Prediction","core_main_deploy_after_weight_and_data_check","review-level evidence | needs original paper verification","fulltext","36699381","10.1101/2020.07.12.199554v3"
"10","core_main_benchmark_top10","MAPLE","MAPLE","2025","证据排序补位","evidence_ranked_fill","protein_language_model_representation","transformer_llm_dominant_models","AMP prediction / antimicrobial peptide classification","DL","20.4213","2.5792","23","5.3","https://github.com/Harkool/MAPLE","not_reported_in_available_evidence","Benchmark dataset: integrated from dbAMP, DBAASP, APD3, DRAMP, etc. (no single download link); 25,507 AMPs and 72,606 non-AMPs. Independent validation set: 24,582 AMPs, 36,653 non-AMPs.","core_main_deploy_after_weight_and_data_check","","fulltext","39792442","10.1021/acs.jcim.4c01913"
"11","extended_deployment_pool_11_20","iAMP-SeE","iAMP-SeE","2026","证据排序补位","evidence_ranked_fill","protein_language_model_representation","rnn_lstm_dominant_models","antimicrobial peptide classification","DL","19.3537","1.2041","15","0","https://github.com/cqw0715/iAMP-SeE.git","not_reported_in_available_evidence","Dataset 1: DRAMP, dbAMP, CAMPr-4, AMPfun, ADAPTABLE (positive), UniProt (negative); Dataset 2: from deep-AMPpred (Zhao et al. 2024); Zenodo data: https://doi.org/10.5281/zenodo.17398951","extended_pool_deploy_after_weight_and_data_check","","fulltext","41913931","10.7717/peerj.20978"
"12","extended_deployment_pool_11_20","iAMP-bert","iAMP-bert","2024","证据排序补位","evidence_ranked_fill","protein_language_model_representation","transformer_llm_dominant_models","AMP prediction","DL","19.1791","1.199","0","5.3","https://github.com/scikit-fingerprints/peptides_molecular_fingerprints_classification","http://iamp.aielab.cc/","多个公开AMP数据库及自建基准数据集 (Zenodo: https://doi.org/10.5281/zenodo.19388783)","extended_pool_deploy_after_weight_and_data_check","","fulltext","39316765","10.1021/acs.jcim.4c00507"
"13","extended_deployment_pool_11_20","HMD-AMP","HMD-AMP","2026","已核验核心候选","verified_required_core","protein_language_model_representation","gnn_models","AMP binary prediction plus multi-label target annotation","protein language model based hierarchical AMP classifier","19.0419","0.6021","3","0","https://github.com/ml4bio/HMD-AMP","","https://doi.org/10.5281/zenodo.15622525","extended_pool_deploy_after_weight_and_data_check","","primary_publisher_crossref_openalex_github_verified","","10.1038/s41551-026-01630-w"
"14","extended_deployment_pool_11_20","ACEP","ACEP","2020","证据排序补位","evidence_ranked_fill","multimodal_hybrid_representation","cnn_dominant_models","AMP binary prediction/classification","attention + convolutional neural network + amino-acid embedding feature fusion","18.9207","1.3786","0","7.3","https://github.com/Fuhaoyi/ACEP","not_reported_in_available_evidence","APD database (mentioned in fulltext)","extended_pool_deploy_after_weight_and_data_check","pre-trained weights not confirmed","fulltext","32859150","10.1186/s12864-020-06978-0"
"15","extended_deployment_pool_11_20","PyAMPA","PyAMPA","2024","证据排序补位","evidence_ranked_fill","traditional_physicochemical_statistical_features","machine_learning_models","AMP prediction / antimicrobial peptide classification","ML/feature-engineering/web-server","18.6409","1.2788","18","0","https://github.com/SysBioUAB/PyAMPA","not_reported_in_available_evidence","AMPlify dataset, Liu et al. CPP database, AMPDeep hemolytic database, ToxinPred toxicity database, GRAMPA database (https://github.com/zswitten/Antimicrobial-Peptides)","extended_pool_deploy_after_weight_and_data_check","","fulltext","38934543","10.1128/msystems.01358-23"
"16","extended_deployment_pool_11_20","SGAC","SGAC","2026","","","structure_graph_representation","gnn_models","antimicrobial peptide classification","DL","18.4907","1.3786","0","7.3","https://github.com/wyxwyx46941930/SGAC","not_reported_in_available_evidence","not_reported_in_available_evidence (paper states 'publicly available AMP and non-AMP datasets')","extended_pool_deploy_after_weight_and_data_check","","fulltext","41662353","10.1093/bib/bbag038"
"17","extended_deployment_pool_11_20","panCleave","panCleave","2023","","","sequence_encoding_representation","machine_learning_models","AMP prediction","ML","18.348","2.1644","145","0","https://gitlab.com/machine-biology-group-public/pancleave","not_reported_in_available_evidence","Training and test data (MEROPS substrates) available in the panCleave repository (https://gitlab.com/machine-biology-group-public/pancleave)","extended_pool_deploy_after_weight_and_data_check","","fulltext","37516110","10.1016/j.chom.2023.07.001"
"18","extended_deployment_pool_11_20","Co-AMPpred","Co-AMPpred","2021","","classic_baseline | traditional_ml","traditional_physicochemical_statistical_features","machine_learning_models","AMP prediction","ML","18.28","0","0","0","https://github.com/onkarS23/CoAMPpred","not_reported_in_available_evidence","https://github.com/onkarS23/CoAMPpred (contains training and test data from DEEP-AmPEP30)","extended_pool_deploy_after_weight_and_data_check","pre-trained weights not confirmed; may require training from scratch","fulltext","34330209","10.1186/s12859-021-04305-2"
"19","extended_deployment_pool_11_20","CELA-MFP","CELA-MFP","2024","","","sequence_encoding_representation","transformer_llm_dominant_models","AMP prediction / multi-functional peptide prediction","DL","18.15","0","0","0","https://github.com/WeiLab-Biology/CELA-MFP","http://dreamai.cmii.online/CELA-MFP","MFBP and MFTP datasets (available at https://github.com/WeiLab-Biology/CELA-MFP)","extended_pool_deploy_after_weight_and_data_check","","fulltext","39038935","10.1093/bib/bbae348"
"20","extended_deployment_pool_11_20","DDM","DDM","2026","","","protein_language_model_representation","transformer_llm_dominant_models","AMP classification","DL","17.85","0","0","0","https://github.com/kww567upup/DDM","not_reported_in_available_evidence","https://github.com/kww567upup/DDM (data provided in repository)","extended_pool_deploy_after_weight_and_data_check","","fulltext","41692989","10.1093/bioinformatics/btag077"
