deployment_rank,model_name,canonical_name,benchmark_role,benchmark_role_label,benchmark_roles,deployment_tier,deployment_status,deployment_selection_score,deployment_reason,task_type,method_family,representation_category,architecture_category,publication_year,source_journal,journal_impact_factor,journal_impact_factor_status,citation_count,citation_count_status,citation_evidence_source,article_impact_score,source_doi,source_pmid,code_repository_url,web_server_url,dataset_source_or_link,evidence_level,confidence,blocking_issues,first_next_action
1,AMPlify,AMPlify,classic_baseline,经典基线,classic_baseline | architecture_representative,core_main_benchmark_top10,core_main_deploy_after_weight_and_data_check,23.0643,经典 AMP 分类深度学习模型；有 GitHub，适合作为纯序列/RNN-Attention 基线。,antimicrobial peptide classification,DL,sequence_encoding_representation,rnn_lstm_dominant_models,2022,BMC Genomics,3.9,verified_from_curated_mapping,185,available,"crossref, crossref_doi_lookup, europe_pmc, llm_nomination_online_verified, openalex, pubmed, semantic_scholar",3.3048,10.1186/s12864-022-08310-4,35078402,https://github.com/bcgsc/AMPlify,https://amply.genomics.cn/,"Training data from APD, CAMP, etc. (details in paper); test set from Bullfrog genome and other sources.",fulltext,0.95,"preprint not yet peer-reviewed, full text verification needed",检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
2,AntiBP3,AntiBP3,architecture_representative,架构代表,architecture_representative,core_main_benchmark_top10,core_main_deploy_after_weight_and_data_check,21.7236,传统 ML 抗菌肽预测路线，有代码和 web server 线索，可作为 antibacterial/AMP 边界任务对照。,antibacterial peptide classification / antimicrobial peptide classification,ML,traditional_physicochemical_statistical_features,machine_learning_models,2024,Antibiotics,5.5,verified_from_curated_mapping,28,available,"europe_pmc, openalex",2.6818,10.3390/antibiotics13020168,38391554,https://gitlab.com/raghavalab/antibp3,https://webs.iiitd.edu.in/raghava/antibp3,"not_reported_in_available_evidence (training data compiled from public databases, no direct download link provided)",fulltext,0.95,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
3,sAMPpred-GAT,sAMPpred-GAT,architecture_representative,架构代表,architecture_representative,core_main_benchmark_top10,core_main_deploy_after_weight_and_data_check,21.4962,结构/图/GNN 路线代表；有 GitHub/web server，适合覆盖图神经网络类别。,antimicrobial peptide classification,DL,structure_graph_representation,gnn_models,2023,"Bioinformatics (Oxford, England)",5.5,verified_from_curated_mapping,225,available,"crossref, openalex, pubmed",3.5735,10.1093/bioinformatics/btac715,36342186,https://github.com/HongWuL/sAMPpred-GAT/,http://bliulab.net/sAMPpred-GAT,https://github.com/HongWuL/sAMPpred-GAT/ (likely includes datasets),abstract,0.9,lack of original publication details from review,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
4,AMP-BERT,AMP-BERT,architecture_representative,架构代表,architecture_representative,core_main_benchmark_top10,core_main_deploy_after_weight_and_data_check,21.4467,PLM/Transformer 路线代表；有代码和数据线索，适合作为现代 PLM 基线。,AMP prediction,DL,protein_language_model_representation,transformer_llm_dominant_models,2023,Protein Science,5.6,verified_from_curated_mapping,125,available,"crossref, crossref_doi_lookup, europe_pmc, llm_nomination_online_verified, pubmed, pubmed_similar, semantic_scholar",3.3297,10.1002/pro.4529,36461699,https://github.com/GIST-CSBL/AMP-BERT,not_reported_in_available_evidence,https://github.com/GIST-CSBL/AMP-BERT.,fulltext,0.95,原始论文未检索，证据来自综述，无代码或服务器信息,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
5,AMPSorter,AMPSorter,verified_required_core,已核验核心候选,verified_required_core,core_main_benchmark_top10,core_main_deploy_after_weight_and_data_check,21.067,证据池命中、任务属于 AMP prediction/classification 且有代码线索，适合作为部署候选。,AMP binary prediction/classification,ProteoGPT transformer protein language model classifier,protein_language_model_representation,transformer_llm_dominant_models,2025,Nature Microbiology,5.3,verified_from_curated_mapping,44,available,"crossref, europe_pmc, https://www.nature.com/articles/s41564-025-02114-4, pubmed, required_model_primary_source_verification",2.8522,10.1038/s41564-025-02114-4,,https://github.com/W1V1995/AMP_Project,,https://doi.org/10.5281/zenodo.16633186,primary_publisher_crossref_openalex_github_verified,1,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
6,C_AMPs-predict,C_AMPs-predict,verified_required_core,已核验核心候选,verified_required_core,core_main_benchmark_top10,core_main_deploy_after_weight_and_data_check,20.9098,证据池命中、任务属于 AMP prediction/classification 且有代码线索，适合作为部署候选。,AMP binary prediction/classification,LSTM attention BERT ensemble,protein_language_model_representation,rnn_lstm_dominant_models,2022,Nature Biotechnology,0,missing_curated_jif_mapping,475,available,"openalex, pubmed",2.6776,10.1038/s41587-022-01226-0,35241840,https://github.com/mayuefine/c_AMPs-prediction,,https://github.com/mayuefine/c_AMPs-prediction,primary_publisher_crossref_openalex_github_verified,1,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
7,CalcAMP,CalcAMP,evidence_ranked_fill,证据排序补位,evidence_ranked_fill,core_main_benchmark_top10,core_main_deploy_after_weight_and_data_check,20.6194,轻量、可解释、数据有 Zenodo 线索，适合作为传统/结构特征 baseline；注意不能误匹配为 CAMP 数据库。,AMP prediction,ML,structure_graph_representation,gnn_models,2023,"Antibiotics (Basel, Switzerland)",5.5,verified_from_curated_mapping,38,available,"europe_pmc, openalex, pubmed",2.8104,10.3390/antibiotics12040725,37107088,https://github.com/CDDLeiden/CalcAMP,not_reported_in_available_evidence,https://doi.org/10.5281/zenodo.7588702,fulltext,0.95,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
8,iAMPCN,iAMPCN,architecture_representative,架构代表,architecture_representative,core_main_benchmark_top10,core_main_deploy_after_weight_and_data_check,20.5498,CNN 路线代表，有 GitHub，适合覆盖深度序列模型。,antimicrobial peptide classification,DL,sequence_encoding_representation,cnn_dominant_models,2023,Briefings in bioinformatics,7.3,verified_from_curated_mapping,104,available,"europe_pmc, openalex, pubmed, pubmed_similar",3.3998,10.1093/bib/bbad240,37369638,https://github.com/joy50706/iAMPCN,not_reported_in_available_evidence,"Integrated from multiple databases (APD3, dbAMP, DRAMP, etc.) and UniProt for negatives.",fulltext,0.95,original_model_article_not_this_one | dataset_not_specified,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
9,LMPred,LMPred,evidence_ranked_fill,证据排序补位,evidence_ranked_fill,core_main_benchmark_top10,core_main_deploy_after_weight_and_data_check,20.4401,PLM embedding + CNN 路线代表；有 GitHub 和数据线索。,AMP prediction / antimicrobial peptide classification,DL,sequence_encoding_representation,cnn_dominant_models,2022,Bioinformatics advances,2.6,verified_from_curated_mapping,43,available,"pubmed, pubmed_similar, semantic_scholar",2.4779,10.1101/2020.07.12.199554v3,36699381,https://github.com/williamdee1/LMPred_AMP_Prediction,not_reported_in_available_evidence,https://github.com/williamdee1/LMPred_AMP_Prediction,fulltext,0.95,review-level evidence | needs original paper verification,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
10,MAPLE,MAPLE,evidence_ranked_fill,证据排序补位,evidence_ranked_fill,core_main_benchmark_top10,core_main_deploy_after_weight_and_data_check,20.4213,较新的 PLM/Transformer AMP 模型；数据规模大，有 GitHub，适合现代路线对比。,AMP prediction / antimicrobial peptide classification,DL,protein_language_model_representation,transformer_llm_dominant_models,2025,Journal of chemical information and modeling,5.3,verified_from_curated_mapping,23,available,"pubmed, pubmed_similar, semantic_scholar",2.5792,10.1021/acs.jcim.4c01913,39792442,https://github.com/Harkool/MAPLE,not_reported_in_available_evidence,"Benchmark dataset: integrated from dbAMP, DBAASP, APD3, DRAMP, etc. (no single download link); 25,507 AMPs and 72,606 non-AMPs. Independent validation set: 24,582 AMPs, 36,653 non-AMPs.",fulltext,0.9,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
