stage,stage_title,layer,item,stage_summary
0,ENTRY & CONFIG,agent_definition,No role-specific Agent,workflow entry
0,ENTRY & CONFIG,agent_definition,Global controls and guards,workflow entry
0,ENTRY & CONFIG,execution,run_menu.bat -> amp_benchmark_menu.py,workflow entry
0,ENTRY & CONFIG,execution,config.py + .env,workflow entry
0,ENTRY & CONFIG,execution,workflow_guards.py | run_manifest.py,workflow entry
0,ENTRY & CONFIG,persisted_artifact,runtime selection + validated configuration,workflow entry
0,ENTRY & CONFIG,persisted_artifact,run checkpoint and artifact provenance,workflow entry
1,LITERATURE SEARCH & RECOMMENDATION,agent_definition,agents/shared/,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,agent_definition,agents/deepseek_meeting/,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,agent_definition,  evidence_compressor_agent.md,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,agent_definition,  info_extractor_agent.md,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,agent_definition,  model_dataset_agent.md,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,agent_definition,  metric_agent.md,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,agent_definition,  critic_agent.md -> chief_agent.md,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,execution,agent_md_loader.py,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,execution,deep_research_literature_agent.py,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,execution,dataset_recommendation_agent.py,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,execution,benchmark_portfolio.py,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,persisted_artifact,data/evidence_pool.json,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,persisted_artifact,  -> compact_evidence_pool.json,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,persisted_artifact,  -> literature_meeting_screening_decisions.csv,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,persisted_artifact,  -> literature_deep_research_memory.json/.md,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,persisted_artifact,data/dataset_candidate_pool.json -> dataset_plan.json,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,persisted_artifact,data/exports/literature_recommendations/,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,persisted_artifact,  recommended_models.csv,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
1,LITERATURE SEARCH & RECOMMENDATION,persisted_artifact,  recommended_datasets.csv,"2,365 papers -> 20 models / 3 datasets / 44 metric rows"
