model_name,meeting_decision,screening_bucket,decision_reason,selected_in_final_deployment,task_type,source_doi,source_pmid,code_repository_url,benchmark_candidate,deployment_eligible,blocking_issues
ADAM,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide classification,10.3389/fimmu.2022.821070,35432369,not_reported_in_available_evidence,True,,webserver_only; no_local_implementation; no_weights_available
ADP3,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.7717/peerj.17894,39346049,not_reported_in_available_evidence,False,,review_only; original_paper_needed; no model details in available evidence
alphafold3,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,not_reported_in_available_evidence,10.1101/2023.10.24.562294,40233743,https://github.com/google-deepmind/alphafold3,False,,irrelevant_to_AMP; no_amp_prediction_evidence; misleading_repository_match
amp-gan,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.1007/s12602-024-10402-4,39557756,https://gitlab.com/vail-uvm/amp-gan,True,,needs original paper verification
AMP_mining_pipeline_Shanxi_vinegar,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.1016/j.foodchem.2024.140646,39089018,not_reported_in_available_evidence,False,,no_code; no_model_name; abstract_only; not_benchmark_ready
AMPDeep,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,hemolytic_activity_prediction,10.1093/bioinformatics/btz246,36163001,not_reported_in_available_evidence,False,,Not an AMP prediction model; predicts hemolytic activity.; Preprint version exists; peer-reviewed publication may have discrepancies.; Code and model weights not available.
AmpGram,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide classification,10.3390/ijms21124310,32560350,not_reported_in_available_evidence,True,,Original code not in evidence; Web server not reported
ANIA,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.1093/bib/bbag023,41664908,https://github.com/SilverGojo4/ANIA.,True,,"regression task (MIC), not binary AMP classification"
APD,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide classification,10.3389/fmicb.2023.1125426,36834553,not_reported_in_available_evidence,True,,review_only; original_paper_needed for algorithm details
APD prediction tool,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction / antimicrobial peptide classification,10.1007/978-1-4939-2285-7_3,25555720,not_reported_in_available_evidence,True,,"Prediction method is based on similarity to database entries, not a trained ML model; fulltext mismatched, so details unknown"
APD2 prediction,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide classification,10.1371/journal.pone.0117394,25671663,not_reported_in_available_evidence,True,,original_model_paper_needed
APD6 Predictor,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide prediction,10.2174/1381612828666220817163339,35980058,not_reported_in_available_evidence,True,,Evidence from a review article; full text of the review not available; Exact prediction method and performance metrics not provided
APEX,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction (MIC prediction),10.1101/2024.12.17.628923,39764027,not_reported_in_available_evidence,True,,Code and trained model not publicly available; Training data not publicly available
BERT-Protein,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.1021/acs.jcim.4c00507,39316765,not_reported_in_available_evidence,False,,原始论文未检索，证据来自综述，无代码或服务器信息
cAMPs-pred,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.1021/acs.jcim.4c00507,39316765,not_reported_in_available_evidence,False,,原始论文未检索，证据来自综述，无代码或服务器信息
CD-HIT web server,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,sequence clustering,10.34172/bi.2023.26438,38327633,not_reported_in_available_evidence,False,,not_an_amp_prediction_model; tool_only
CNN-based PDA mechanochromic fingerprint AMP identification,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide classification,10.1002/anie.5828776,42429113,not_reported_in_available_evidence,False,,基于物理传感器响应，非序列/结构预测; 需要特定硬件（PDA传感器）和光谱成像; 无公开代码或数据集
CTCM-Neo & ConformaX-PEP,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimalarial peptide classification,10.3389/fcimb.2026.1707267,41859462,not_reported,False,,"antimalarial-specific, no code, no full text"
