"display_order","item_type","metric_category","metric_name","weight","decision_role","reason","policy_notes"
"1","endpoint","primary_endpoint","AUPRC","","唯一预注册主终点；分别在三套数据集上报告，不用综合分替代。","AMP 真实筛选为低患病率/低阳性率任务，AUPRC 同时反映排序质量和阳性基线。",""
"2","endpoint","secondary_endpoint","MCC","","预注册关键次终点；使用验证集固定阈值后计算。","综合 TP/TN/FP/FN，适合类别不平衡二分类。",""
"3","weighted_metric","primary_weighted_metrics","AUPRC","0.35","","主终点；适合不平衡二分类，优于只看 AUROC。","四指标加权分只用于探索性排序/会议决策；论文主结论必须逐终点报告效应量和区间。"
"4","weighted_metric","primary_weighted_metrics","MCC","0.3","","综合 TP/TN/FP/FN，对类别不平衡更稳健。","四指标加权分只用于探索性排序/会议决策；论文主结论必须逐终点报告效应量和区间。"
"5","weighted_metric","primary_weighted_metrics","Recall / Sensitivity","0.2","","控制 AMP 漏检，适合发现任务。","四指标加权分只用于探索性排序/会议决策；论文主结论必须逐终点报告效应量和区间。"
"6","weighted_metric","primary_weighted_metrics","Precision","0.15","","控制假阳性，避免大量错误候选进入后续实验。","四指标加权分只用于探索性排序/会议决策；论文主结论必须逐终点报告效应量和区间。"
"7","report_metric","mandatory_report_metrics","Accuracy","","","",""
"8","report_metric","mandatory_report_metrics","Balanced Accuracy","","","",""
"9","report_metric","mandatory_report_metrics","Precision","","","",""
"10","report_metric","mandatory_report_metrics","Recall/Sensitivity","","","",""
"11","report_metric","mandatory_report_metrics","Specificity","","","",""
"12","report_metric","mandatory_report_metrics","NPV","","","",""
"13","report_metric","mandatory_report_metrics","F1-score","","","",""
"14","report_metric","mandatory_report_metrics","MCC","","","",""
"15","report_metric","mandatory_report_metrics","AUROC","","","",""
"16","report_metric","mandatory_report_metrics","AUPRC","","","",""
"17","report_metric","mandatory_report_metrics","AUPRC lift","","","",""
"18","report_metric","mandatory_report_metrics","Confusion Matrix","","","",""
"19","metric","calibration_metrics","Brier score","","","",""
"20","metric","calibration_metrics","10-bin ECE","","","",""
"21","metric","calibration_metrics","10-bin MCE","","","",""
"22","metric","calibration_metrics","calibration curve","","","",""
"23","metric","application_utility_metrics","Precision@top1%/5%/10%","","","",""
"24","metric","application_utility_metrics","Recall@top1%/5%/10%","","","",""
"25","metric","application_utility_metrics","enrichment factor@top1%/5%/10%","","","",""
"26","metric","application_utility_metrics","number needed to test","","","",""
"27","metric","resource_metrics","SLURM elapsed time","","","",""
"28","metric","resource_metrics","MaxRSS","","","",""
"29","metric","resource_metrics","sequences per second","","","",""
"30","metric","resource_metrics","GPU/CPU configuration from run manifest","","","",""
"31","reporting_rule","statistical_reporting","95% cluster bootstrap confidence interval when homology clusters exist; otherwise sequence bootstrap","","","",""
"32","reporting_rule","statistical_reporting","paired bootstrap differences for AUPRC/MCC/Balanced Accuracy/Brier score on common samples","","","",""
"33","reporting_rule","statistical_reporting","paired McNemar test for thresholded errors","","","",""
"34","reporting_rule","statistical_reporting","Holm family-wise correction across pairwise McNemar comparisons","","","",""
"35","reporting_rule","statistical_reporting","effect difference and confidence interval reported alongside p values","","","",""
"36","dataset_rule","test_matrix","one near-balanced external test","","","",""
"37","dataset_rule","test_matrix","two external tests with distinct imbalance severities","","","",""
"38","dataset_rule","test_matrix","all three must pass exact-overlap and <=40% sequence-identity audits","","","",""
"39","reporting_rule","robustness_reporting","per-dataset metrics without pooling away prevalence differences","","","",""
"40","reporting_rule","robustness_reporting","10-20/21-30/31-50/51-100 aa length strata when sequence data are present","","","",""
"41","reporting_rule","robustness_reporting","negative-sampling stress test","","","",""
"42","reporting_rule","robustness_reporting","coverage and invalid-probability rate","","","",""
"43","policy","threshold_policy","Threshold selection policy","","","","正式评测仅在独立验证集上用 Max MCC 确定并冻结阈值；0.5 仅作诊断性对照，测试集禁止后验调阈值。Youden Index 只作为预注册敏感性分析。"
